index,campaign,cell,target,actors,capacity_hint,growth_pages,live_percent,hole_pattern,sweep_mode,touch_reserved,instrument_allocations,cold_ns_per_actor,cold_iqr_ns,spawn_ns_per_actor,growth_p95_ns,growth_p99_ns,max_growth_ns,hot_ns_per_update,hot_iqr_ns,reserved_capacity,unused_state_bytes,peak_rss_bytes,allocation_calls,allocated_bytes
0,native forecast error,native-forecast-hint-050,native,65536,32768,16,100,packed,live-bitmap,false,false,16.143784,3.015518,14.629990,7125.000,10333.000,10333.000,1.158420,0.053410,65536,0,8257536.000,,
1,native forecast error,native-forecast-hint-075,native,65536,49152,16,100,packed,live-bitmap,false,false,20.477295,4.171043,17.549515,6459.000,6459.000,6459.000,1.123174,0.042760,65536,0,8241152.000,,
2,native forecast error,native-forecast-hint-100,native,65536,65536,16,100,packed,live-bitmap,false,false,17.585129,4.212700,14.134094,0.000,0.000,0.000,1.131701,0.036287,65536,0,8241152.000,,
3,native forecast error,native-forecast-hint-125,native,65536,81920,16,100,packed,live-bitmap,false,false,17.332718,2.771706,12.537003,0.000,0.000,0.000,1.115600,0.052734,81920,1048576,9404416.000,,
4,native forecast error,native-forecast-hint-200,native,65536,131072,16,100,packed,live-bitmap,false,false,19.691467,3.914841,12.889862,0.000,0.000,0.000,1.132250,0.054995,131072,4194304,12812288.000,,
5,native forecast error,native-forecast-hint-400,native,65536,262144,16,100,packed,live-bitmap,false,false,29.557556,1.682610,14.361069,0.000,0.000,0.000,1.134666,0.068021,262144,12582912,21987328.000,,
6,native growth chunk,native-chunk-hint-075-pages-01,native,65536,49152,1,100,packed,live-bitmap,false,false,17.081589,2.367340,13.017014,1042.000,1750.000,3084.000,1.168887,0.034559,65536,0,8437760.000,,
7,native growth chunk,native-chunk-hint-075-pages-04,native,65536,49152,4,100,packed,live-bitmap,false,false,18.789932,1.839325,15.416458,1750.000,4833.000,4833.000,1.138043,0.045145,65536,0,8323072.000,,
8,native growth chunk,native-chunk-hint-075-pages-16,native,65536,49152,16,100,packed,live-bitmap,false,false,16.809464,0.991516,14.027908,5667.000,5667.000,5667.000,1.134984,0.035870,65536,0,8241152.000,,
9,native growth chunk,native-chunk-hint-075-pages-64,native,65536,49152,64,100,packed,live-bitmap,false,false,16.194031,1.343086,13.542816,18167.000,18167.000,18167.000,1.123349,0.040293,65536,0,8273920.000,,
10,native growth chunk,native-chunk-hint-100-pages-01,native,65536,65536,1,100,packed,live-bitmap,false,false,20.875305,2.735123,15.860245,0.000,0.000,0.000,1.175523,0.014651,65536,0,8437760.000,,
11,native growth chunk,native-chunk-hint-100-pages-04,native,65536,65536,4,100,packed,live-bitmap,false,false,18.971756,2.473846,14.896393,0.000,0.000,0.000,1.145522,0.012008,65536,0,8306688.000,,
12,native growth chunk,native-chunk-hint-100-pages-16,native,65536,65536,16,100,packed,live-bitmap,false,false,18.712372,2.294540,14.657974,0.000,0.000,0.000,1.122912,0.060229,65536,0,8241152.000,,
13,native growth chunk,native-chunk-hint-100-pages-64,native,65536,65536,64,100,packed,live-bitmap,false,false,14.448807,2.788536,11.084869,0.000,0.000,0.000,1.137630,0.058258,65536,0,8273920.000,,
14,native growth chunk,native-chunk-hint-125-pages-01,native,65536,81920,1,100,packed,live-bitmap,false,false,23.923233,0.997864,17.527893,0.000,0.000,0.000,1.158961,0.042681,81920,1048576,9650176.000,,
